Kalenjin,Kiswahili
langok ko kaberuret kobun kamuktaidet,Watoto ni baraka kutoka kwa mwenyezi
"ketesyi choto,kelechi sigiik kole magaat kosomanchi iche ngalek alak chemaba nobishet ","Fauka ya hayo, kulazimishwa na wazazi kuchukua masomo mengine yasiyo ya kiufundi."
Magengwong neyoe obirkei,Tamaa yenu ndio inawafanya mpigane.
Kit agenge nekikoklabta soket nelel ko karit aba maat nebo SGR,Moja wapo ya vitu amabayo umeimarisha soko mapya ni utumizi wa treni ya SGR.
kiyae mungaret alak alak chengeme asimaboor, kufanya biashara tofauti tofauti za kuwanyanyua kimaendeleo.
kikiroben kora togochi kwak kito nemwoito,Tuliangalia pia hisia za uso na kiimbo cha uwasilishaji.
Kiteb kole amune simenyo lagat,Aliuliza kwanini hukuja jana
Katareton Kiptaiyat anyor poisyet ne kararan missing',Mungu amenisaidi kupata kazi nzuri sana.
kikoitoi asoya eng lagok che koba let eng sukul,Rushwa zinatolewa hasa kwa wale wanafunzi walio shika mkia.
Logoek ak pek ko kororon eng borto,Matunda na maji ni afya mwilini
kiker kampunisiechu  boisionikwach akubo ng'atutik che kikinde  kekerta asimatesaka koroitab korona,Makampuni haya yameamua kusimamisha kazi kutokana na masharti yaliyowekwa dhidi ya kupambana na ueneaji wa corona.
chamiet nebo kap  chii kobo kamangut ,Upendo wa familia ni nguvu 
 Kinyoru konetinte kipsomaninik kourereni eng kasarta ne bo klas., Mwalimu aliwapata wanafunzi wakicheza wakati wa darasani
chamiet koteje kab chi ne kim,upendo vinajenga familia imara.
Kinama rwondo akiaru akarwotchi tukuk che keroronen mising,Usiku nilipata usingizi na nikaota ndoto nzuri sana
eng' letu kiamuch atar somanet nyu,Mwishoni niliweza kumaliza masomo yangu
 kou ye kitou Rashid.,ndivyo alivyoanza  Rashid.  
 Bekuu mimbaishe che bo Haraka awee?,Mimba  za mapema zitakwisha kivipi?
Kojan kokinyor oret inendet en Bomet ,Kojan alikuja na njia  huko Bomet
kimakinyoru amitwogik che chang' mising ko logoek eng' kasarta noto,Vyakula vingi vilikosekana haswa matunda wakati huo
Agatha ko kwondo ne chobot,Bi.Agatha ni mama wa bidii
"yo tononi karishek ago kwerii mmtaban oret,kotononsot boishonik tugul","wanaposimamisha magari na kuyaegesha kando ya barabara, shughuli zote husimama."
Ngebe kero anyun ngamotiotab kabwatutik ,Bora tukamwone mtaalamu wa mawazo.
anonon ne makimwa eng' kele kaimutiet ne ibu bolset,Ni kipi hakijatajwa kama changamoto za uchimbaji
Amunee si kosusot kipsomaninik eng temutik?, Kwa nini wanafunzi wale wantembea polepole.
Yu kokikiser kainetab sigikchi ,Hapa kumeandikwa jina la wazazi wake!
Achul kelyek ko wendotei ra missing ,ninyoshe miguu.nimetembea sana leo.
Pimani inendet kanyoindet kiy ake tukul komnye,Daktari atampima kila kitu vizuri.
Kiteleldosi tugul,Tunasimama kidete pamoja.
"Choto sokol, nebo taman komaktoi kekalbta kalyet ab emet",Yote tisa kumi ni kuimarisha usalama nchini.
kikisikyi nekikosirto Mandela emetab Afrika murot katam eng kokwetab Traskei,Hayati Mandela alizaliwa nchini Afrika Kusini katika kitongoji cha Traskei
mechei kogeer kole mamiten chi netos kogogoon lesenit nemobo imanit ,Wahakikishe hakuna mtu atafanya ghushi katika leseni 
Kimoche kolwesta tugonoto bo orit nekimi oritinyi nekikailach inendet ,Alitaka kupuuza sauti ya ndani ya nafsi yake iliyomvaa vauvau.
kitoben Haji Fasiya ak kongda ne ngwan kobwoti che che chang,"Haji alimtazama Fazaya kwa jicho la chuki, aliwaza mengi."
Eng' komoswek alak ko kikiet ametab tyong'ikab kerti amu kikileni kiibu ametab reresik korona,"Kwa upande mwingine, ulaji wa nyama za wanyama pori ulipigwa marufuku kwa sababu inashukiwa kuwa corona ilitokana na ulaji wa popo."
ukonjwet nebio korona ko ki kon korar kitandok ak koristo eng siptalishek, janga la corona linasababisha uhaba wa vitanda na oksijeni hospitalini.
kotomo atar ak awe eng nyungunyat kogameche abwatyi,Kabla sijamaliza na kutia nanga mchangani ningependa kuikumbusha
kikeker mungaret ab bik amun kilen tos ngem ukonjwet ab korona,Biashara za kimataifa zimefungwa kwa sababu ya watu kuhofia maambukizi ya corona.
kiit talamoichoto Nyeri eng kebeberwek aeng,Nzige hao walifika Nyeri wakiwa katika makundi mawili.
kameche ataar amwae kole nderefainik komeche konai kole bo kamanuut sobet tab bikap emet,ningependa kuwatamatisha madereva kuhusu umuhimu wa maisha ya wananchi.
Kwanaite asomani pukuisyek saisyek chechang',Nimezoea kusoma vitabu kwa masaa mengi
mito olin loo nyanjeta Roben,Kisiwa cha Roben kiko mbali sana.
 wiseek che bo Formula 1 ko urerie ne bo nderabaini.,Mbio za gari la Formula 1 ni tamasha wa madereva.
kikonyei kesutik chechang eng komostab Eldoret,mavuno mengi yanatarajiwa maeneo ya Eldoret
Muguleldo nyun kotindo boiboiyet ame Kiptaiyat,Moyo wangu umejaa furaha kwa sababu ya Mungu Mwenyezi
Eng' notok anyun ko much inai ole kokwo ngweny yakwaiyet ab ngungunyek,Kwa kufanya hivi ndipo unaweza kujua au kutambua rutuba ya mchanga inashuka
Kimochei ketur lakini banda ko kakwaet ago newendi banda komi oto,"Alitaka ashindwe akipigana, safari ni hatua na msafiri ni aliye banadarini."
Chego che lolong ak makatiaT ko amitwogik ap karon,Maziwa ya moto na mkate ni kiamsha kinywa.
Kitoi amndaindet konet akobo chomnyet ,Mfululizo mpya wa mahubiri juu ya upendo na huruma ulianza.
yaakse tuguk chechang eng oratinwek,Mambo mengi hutendeka barabarani.
"Kimeto kwenye ye kingonyone eng oret,", Alipoteza kiatu walipokuwa uwanjani.
Kiinget Asisi ,Alizimduliwa na Asisi.
kimong'u ng'alalet kele mochei ketonon aldaetab muguka,Hoja ya kuzima uuzaji muguka umeibuka
tinye lakwet aketukul chomchinee kusoman, Kila mtoto ana haki ya kupata elimu
 Tinyei chi tugul iman kumen'gis, Kila mtu anayo haki ya kuishi.
chetinye  kamunget kobatis ko koyor korona,Waja wenye nguvu ya kulima mashamba kuambukizwa korona.
Tamambulishek choto kitindoi nyalil ne maming'in ,Koroboi hizo zilikuwa na mrafa si kidogo.
Kanetisiet age tugul ko ipu kasarta ne lel nebo kesir,Kila somo linaleta fursa mpya za mafanikio.
kicheng nyikanatet kobor kole akot kitabusheck chetuten chekimeche kichop kukikichope yoto,Upelelezi wa Kijasiri ulionyesha kuwa kumbe hata vitabu vichache walivyodai kuchapisha Maba vilitengenezewa hapo.
kiibisio mamae kemoutab amut,mjomba alifunga ndoa jana usiku
iberberi k anyoik biik che tinyei korotwek che tinyei kaborune ne kerkei ak korona kole korona,Madaktari wanadanganya watu wenye magonjwa yaliyo na dalili kama za Corona kuwa ni corona
cheimuti biik eng karit chemagatin,wanaobeba abiria zaidi ya kiwango cha kawaida.
Kiachokchini ait asipoker walutik chuk ,Na hivyo nilipendelea nifike wa mosi ili nijionee majibu yangu. 
keyeey kegerta giy kosir kenyaai,kwa hakika kinga ni Bora kuliko dawa
Kilabat  a kakotelel eng oret ,Alitoka mbio akasimama njiani.
Kopoipoenji pik ureryo notok,Watu walifurahia mchezo huo
kiyaan awekchigei kilasit  koroitab korona,Ugonjwa wa corona ulinifanya nikarudia darasa
 Anii namba akenge ako somok tibiik?,Yaani nambari moja msichana na nambari tatu msichana.  
Komaktoi kende tukuk che nyalunot eng siptalishek choto asikenyaa korotwek che ter eng kokwet,Zahanati hizo pia ziwekwe vifaa vifaavyo ili viweze kutibu ndwele ainati katika jamii.
Kiripe ak ketesetai ak kekochini tuguk lakok,Tunalinda na kuendeleza urithi wa familia.
konamin baibaiet ko kararan missing," Furaha inapogawanywa, hukua maradufu."
Riba Jehovah eng olatukul ya awendi,Yesu hunilinda kwa mahala popote niendapo
Kikokon kasarta che chang chebo boisionikng komaswek che chang kou sikulishek,"Nikianzia, imebuni nafasi za kazi katika sekta mbalimbali kama vile shuleni."
"Ma tiong'ik, ma biik, kikerip ichek tukul","Si wanyama, si binadamu, wote wameweza kusalimishwa."
 Chitap oree somanet ab rubani ni kiibu mbar?,Ndugu shahada ya urubani uliamua kuileta shambani?
geerei kole kagibeet kimnatet ako sait ago robinikwai kongering ochei ,Huona kama ni upotezaji wa nguvu na wakati ilhali malipo yake ni kidogo mno.
Mungaret netakomining' komache panganutik ak konunet nenyolu,Biashara ndogo inahitaji mipango makini na kujitolea
koroito nebo korona ko ma met kityo ni kiko gon tindai manufa akine," janga la corona limeleta maafa, lakini pia kuna uzuri wake."
achame atieni eng' oldab saet nyo,napenda kuimba kwenye kanisa langu
Kanai rani kit ne lel, Leo nilijua kitu kipya
Kibaibaitynchini sobet ab tupcheshek,Tunafurahia maisha ya familia.
Koit tayonnyo sait taman,Mgeni wetu alifika saa kumi
sait tugul ak inye ko kit nebo kamangut,Kila saa nawe ni zawadi ya thamani.
bik ab kap chii koribe kalyet,Watu wa familia ni walinzi wa imani.
somanetab kitabushek koineti biik agoba kiiy,Masomo ya kiakademia ni mafunzo yanayotoa elimu au utaalamu maalum.
tinyengei oldo ne nyalil tunguichu sikutesaka,virusi hutegemea sehemu nyevunyevu kusambaa
Achame ane aurereni ak choronok,Mimi napenda kucheza na marafiki
Chope Cheptoo amitwogik raini, Chakula kitapikwa na Cheptoo leo
much  kobar tugenoto biik che tinyei kaimutikab muguleldo,Sauti ya baruti hizo zinaweza kuwaua watu wenye matatizo ya moyo
nitok ko kaini temut ab keywei miondo,Hii itawapa fursa ya kuepuka na magonjwa 
Ye kingokakeker eng let nebo kapkirwok eng kasarta kokikilany tai nebo Ole kirwoke,"Baada ya kufungiwa nyuma ya korti kwa muda, walipandishwa mbele ya mahakama; hakimu Kata alikuwa tayari kuiendesha kesi dhidi yao."
Ngot makibiit kerchek minutik kwomei tutuik akonunsot akongem batishet,Mimea isipoyunyiziwa dawa zitaliwa na wadudu na baadae kuoza na kuzoretesha kilimo.
Kwagas kokwortos sesenik amut kemboi,Usiku wa jana nilisikia mbwa wakibweka
Mitei kasarwek che kiimuch koturis ako kaketur rani,Kuna nyakati aliweza kushindana lakini kwa sasa alishindwa.
Nitok ko chamegei inegei amu neinyaise konyalu komiet eng piik,Huu ni ubinafsi kwa sababu daktari anapaswa kuwajibika na kuwa kilelezo chema kwa wananchi 
Asikomeny akichek sobet nemenye bik alak,Ili nao waishi maisha wanayoishi watu wengine
Kojan kokipwan ine kokakoo bata,Kojan alifikiria baada ya.
Tun nyonei Jehovah ngony koib biik chiik,Yesu atakuja karibu awachukue watu wake
"Akot kora, moche kekoch taktariek chepkondok che yemei asimoesho kobois",Isitoshe madaktari walipwe mshahara wakutosha ili kuwazuia kugoma
ya kimwoe biikab keny kole rirei nyikane aku rorie bokwet ko maitumtum inendet,Msemo wa wahenga kuwa kwa shujaa huenda kilio na kwa mwoga huenda kicheko haukumbabaisha.
Lakwetap sukul ko chopindetap atindonik,Mwanafunzi ni mtunzi wa hadithi 
Lo missing' emo notok,Nchi hiyo ni mbali sana
Keturek chutok ko tareti eng' teset ab madini che tareti eng' rutunet ab minutik,Mbolea zizi hizi husaidia kuongeza madini ambayo yanasaidia mimea kuwa na afya.
"Yekingokakokwar metit eng kasarta ne nwach, kotamtaman akole machan agondekono boisiet nebo ketisiet ","Baada ya kukuna kichwa kwa muda mchache, aligugumza akasema, Si nyingi.ukinipa kazi hata kama ni ya udereva au kama hii tu kwako nyumbani nitakuja kuifanya hata kama ni kesho."
kilyan sike ker sukulisiek eng' chokchine?,Kwanini shule zilifungwa kwa haraka? 
Indoichi bichu tugul inyekei Kijitu eng orotitab chemosinik,"Uwaongoze watu hao wote, wewe peke yako Kijitu ndani ya hawa majitu unatafuta nini?"
Konon pukuit naa mi meset parak,Nipe kitabu hicho kilicho juu ya meza
Mache kowirta  kitabu lakwet .,Mtoto anataka kurusha kitabu 
 Kikoi turishe ne oo sukulit ab tibiik.,Walipewa ushindani mkubwana shule ya wasichana.
igesugei biik chechang agoba oret ,barabarani ndiyo ina peleka wengi kuzimuni
kiing'itil sobonwek che chang' eng' ng'ony kaimutiet nito,janga hili lilihatarisha maisha ya wengi duniani.
Kindoita biik ab chamait eng ngalek ab tumdo nebo krismas,Wanachama walitangulia kwa tamasha la Krismasi.
kitou koyai boisioni kenyitkonye,Alianza kufanya shughuli hii mwaka uliopita.
Tiemut age tugul ko yain iegu nemie kosir,Kila jaribio linakufanya kuwa bora zaidi.
kotko kinamei piik akoba asoya kou ole kimwaa icheket ko etu emet,Kama watu wote watashtakiwa kama walivyoahidi kenya itakuwa nchi kuu
lagok kobo kamagut eng' sabet,Watoto ni wamuhimu katika familia.
kunoto komuch kongeringitu biik chemwee komoswek cheechen chebo emet ngoyotyi biik boishet ,Vile vile inaweza kupunguza uhamiaji mjini kwa kufungulia watu kazi 
Chame lagok chuk pendo,Watoto wangu wanapenda nyama
Wiseek che kionei boskilii eng lekemee koboiboi ochei.,Mchezo wa kukimbiza baiskeli milimani ni wa kusisimua.
rusiot icheek chegigorek missing saishek sisit,Wao hulazimika kulala saa zinazopungua nane.
 Yutien cho ikiwek saang iboiboitu ak bikaab kokweej.,Sahau hayo nenda nje ufurahi na  wanakijiji.
netai koyoni ng'otutik aldaekab muguka,Kwanza miraa na muguka inakubalika kikatiba.
serindet ko chito netelelchini imandab kwonyik ak neranik,Mwandishi ni mhadisi  na mwanaharakati wa kutetea haki za wanawake na vijana.
eng chechang chornatet ne kokotesak,"Kadhalika, ufisadi umeongezeka."
kinyor kiplelutinik ko kisisyo,Walimkuta mahabusu wao mtulivu tuli.
kot ma cheso ko mami age ne taretech ,"Leo utakiona,"" mkazi mmoja aliapa huku hasira zikimpanda."
inye ko u kawalet nebo tiemutiet ne nyun,Wewe ni kama jibu la sala zangu.
Kiyae bandab kaa,Tunafanya matembezi ya familia.
otinye iman ale roboni ra koskoleny,nina hakika itanyesha leo jioni
kirat ng'otutie yekingotyem koboryekei,sheria ilimfunga alipokuwa akijitetea
Nyolunot missing saet amu ribin Jehovah,Maombi yanahitajika kwa wakati wowote ule kwa kuwa Mungu hutulinda
Tesetai lewenet ab kandoik chetelelchini kebebertab rabinik eng' emotunuek tugul,Uchaguzi wa viongozi wanaosimamia sekta ya fedha ulimwenguni kote inaendelea
Eng' inguni ipachope amitwogik,Kwa sasa nitaenda kupika
koroitab korona ko kaimutiet ne o eng bik kokon shidoshiek eng bik, janga la corona limeongeza unyanyapaa katika wagonjwa 
Komomi ngalalet kenam Asisi ak bik alak koboto Kipokeo ,"Bila mahojiano, walimshika Asisi na watu wengine wachache akiwemo Kipokeo."
 Mokechobon kokeny mokechobin kokeny?,nitaumbwa  tena Utaumbwa tena?
Imuchi kabatik kouto kesutik eng' nyumnyumindo akobo oret ne karan, wakulima  wataweza kusafirisha kwa haraka na mazao kwa ajili ya njia nzuri
"akot ya koete sigiikwak, tugumito orititab atebto noto yaa","Kwani licha ya katazwa na wazazi wao, bado hujiingiza katika tabia hio mbaya"
korona ko ki ngem emet ab india eng mising ama nyor nyoet ab kat,Corona iliumiza nchi ya India vibaya sana bila huruma.
Nomekei bik ab emet eng kibangengeit agenge,Watu nchini watashikana kwa  pamoja.
Kibun segemiat eng itinyi,Nyuki alingonga karibu na sikio lake.
much kotoret somanee kutestaai emet, Elimu imeweza kuchangia maendeleo ya kitaifa.
Mito batishet ab kesutik ak tiong'ik,Kuna ukulima wa mazao na wanyama
kinyoru kampunit nyeranee ne kiyai kobechigei kandoik kobechi gei,Kampuni imepata hasara mpaka wakurugenzi wakafunga virago.
oret agenge nebo ketonon aldaishet,ni baadhi za njia za kuimarisha uchukuzi nchini. 
"alua ak netindoi kochenge oret age,kimwaini liwazo","Alua na Anao wanatafuta njia zaidi, Liwazo alimwambia."
Tom kai aitu kong'wong',Sikuwahi kufika kwenu
Chu koki keret ngwai akotar kilasitab angwan ,Hizi zilikuwa ndoto zao kabla ya kumaliza kidato cha nne.
Agot  ndaunoto kogindeno sagitek kwenyonikchi,"Hata hivyo, alieka kiatu chake dawa."
Kiwekchikei timitab pororiet nebo muungano stars kora,Aliirejelea timu yao ya Taifa Muungano Stars tena.
biikap siaset alak kogoni robinik biik asigekochi ichek kuraishek kwai,Wanasiasa wengine kuwahonga watu fulusi ili wampe kura zao.
 Grupit ab barnotisiek kokinemke kobarta talentait kochangan rabisiek,Kikundi cha vijana kilianzisha onyesho la talanta kuchangisha fedha.
 Kisub kuru amo kikachokan.,Alilala mapema sana kwa sababu alikuwa amechoka.
ne aye kasit eng duket ab vitabushek chobo somanet ko inetishe, anayehudumu katika duka la vitabu la tusome ni mwalimu. 
King'alali komyee eng simet, Tunawasiliana vizuri kwa simu.
Nda kitoret kabatik eng pesendoab keal tuguk ab kabatishet kokonu tesetetaitab kei,"Vilevile, wakulima wakipewa mikopo ya kununua vifaa vya kilimo, itawaendeleza."
mache keip  atua si kesup ngatutik ab oret,Anapaswa kuchukuliwa hatua papo kwa hapo kwa kuzingatia sheria za barabarani .
 Haji eng togee ne kiyam,Haji kwa uso mkavu.
Eng' notok ko kimache kenet kabatik aratinwek ab kasari chebo kolset,"Isitoshe, wakulima wafunzwe mbinu za kisasa za kilimo."
king'wekta kasarta,wakati umewasaliti
Kiapchechi kanetik ak kipsomaninik  akitach chitukul eng boiboyet,Niliwagawia walimu na wanafunzi wenzangu na wote wakapokea kwa furaha
judgit neo philimena mwilu konyor kaimutyet komi emet,Hakimu mkuu Bi Philomena Mwilu alilalamika kua inchini      
Panganutikab chokchinet eng mungaret ko ,Kuwa na mpango wa dharura katika biashara ni busara
 kimonor lakok ak kobo amitwokik che ngring, Wanafunzi waliandamana kwa ajili ya chakula kidogo.
Makomii betusiek chekechesone kisubi kityo kristo,Hakuna muda mwingi wa kucheja ni masaa ya kufwata Yesu
kiit ne uni ko yoe tibik kobisto sukul akutou ribsetab laak aku bendi icheke werik sukul,jambo hili linafanya wasichana kuacha masomo na kuanza ulezi wakati wavulana wanaenda shule
Kibaibaitynchini siret ab tupcheshek,Tunajivunia mafanikio ya familia.
kilech saiseree ak kowechike,Walimuaga wakaondoka.
cheineitihsnen che komeshoo kanetishiet ab kenyishishaik che kichikili,Wanagenzi walikaa manzilini kwa takribani miezi tisa.
ayani ale beku maatab koroitab korona ye rub biik kakwoutiechu, ninaamini kuwa janga la corona litakosa makali yake ikiwa watu watachukua hatua zifuatazo.
Kit age Kora komagat kotinyei ngoroik oeng chebo sukul kimeoch konetindet neo,"Kitu kingine, lazima awe na sare kamili, hedmasta akamwambia."
Kikochuchuch ngoliondoni bik che sirtoi amu manyor kanyoiset,Jambo hili limepunguza idadi ya wakenya ambao wanakufa kwa kukosa matibabu
Tukuk ab kamanut kou kameraishek chekiunye komuchi konam pikchaishek                   ,Vyombo maalum kama vile kamera za siri inauwezo wa kunasa picha.
Betusiek tugul ,Kila siku!
ang'ii kabarastaet mamache anyorwok eng yuto,"Sasa Mhariri, nisije nikawafungia hapa."
Omache ipo urerense eng' ano?,Mwataka kwenda kucheza wapi?
kiteeb ako mawolchi chi akot ko kibo iman,aliuliza bila jawabu japo alikuwa sahihi
Cheyonotin kokimii eng sitosiek ab kasomanet ab bukut ne tilil,Waumini walishiriki kwenye changamoto ya kusoma Biblia wakati wa majira ya joto.
Much ketonon namet ab asoya ndakinet biik ak kandoik ko karanitu eng' boishe ngwai,Ufisadi huu unaweza kukomeshwa kwa kuwaelimisha watu na viongozi wawe wazuri katika kazi zao 
Eng' chamyet koalwon ngoryet,"Kwa upendo, alininunulia vazi"
Kilanye tulwet nekoi mutai, Kesho tutapanda mlima mrefu 
Tukuk mut chemagat itinye sieku bilionea,Mambo matano unayohitaji kuwa bilionea
"Komayem, teksoshiek kotoriti kochob boishonik ab kokwet kokararanit","Isitoshe, miundo msingi imeweza kuboresha huduma za kimsingi ya kijamii"
Nekwerie matatu ak basishek che imuti piik che kakolipan garit kongetee olda agenge akoi age,Dereva wa matatu ama mabasi wanaopeleka abiria waliolipa nauli ya kusafiria kutoka sehemu moja hadi nyingine.
SUPUK Chepo pendo kopundoe mat muguleldo,Supu ya nyama inapasha moto moyo.
"sabunit,ago ketepi oleloo nebo mitaishek agenge ak komanyii agenge kemangu ", sabuni na kukaa umbali wa mita moja na nusu kutoka 
