Kidaw'ida,Kiswahili
Ilombi jelomba w'utesia ngelo kwapata w'asi.,Sala wakati wa taabu.
Kwamrusha kirumbu cha w'ubaa na hishima.,Umemvika fahari na heshima.
W'amaiza wapo.,Adui zangu.
Aw'o w'isow'agha ndew'ichaliw'ika.,Fukara hawatasahauliwa.
Kukaia na irumirio na Bwana.,Kumtumainia Mungu.
W'uw'iw'i ghwa mdamu.,Uovu wa watu.
Mkelu wadaghamba ngolonyi kwake.,Mpumbavu hujisemea moyoni.
Ela w'ose w'eelaghaya.,Lakini wote wamekosa.
W'ichakaiya na kiture kibaa.,Watashikwa na hofu kubwa.
Ilombi ja mndu usekosere.,Sala ya mtu mwema.
Ndewina w'ughoma.,Hawana huruma yoyote.
Nadakunugha toe kwa loli.,Nimefuata njia yako daima.
W'eeka w'ikunde kunirashua.,Wako tayari kunirarua.
Lumbo lwa w'usimi.,Utenzi wa ushindi.
Midegho ya kufwa.,Mitego ya kifo.
Ngawifashafasha vangu w'ana w'iko na tabia isafwane.,Niliwatwanga vibko watoto watundu.
Mlungu oko moyo.,Mwenyezi Mungu yu hai.
W'ubaa ghwa Mlungu kwa nyamandu.,Utukufu wa Mungu kwa Viumbe.
Sharia ya Bwana.,Sheria ya Mujgu.
Mlisha wapo.,Mchungaji wangu.
Mzuri Mbaa.,Mfalme Mkuu.
Lwaka la Bwana andenyi ya kiremba.,Sauti ya Bwana katika dhoruba.
Chumu ra modo.,Miale ya moto.
Kuhea na kufuilwa w'ughoma.,Toba na msamaha.
Kitabu cha pili.,Chuo cha Kawi.
Mbori raaw'uya vindo vapo.,Machozi yamekuwa chakula changu.
W'anifasha na madukano.,Nimepondwa na matukano.
Mlungu okanye nesi.,Mungu yu upande wetu.
W'ukelu ghokusaghika na mali.,Upumbavu wa kutegemea mali.
Nido kwako.,Nipeleke kwako.
W'utasi ghwa loli.,Ibada ya kweli.
Nyonyi rose ra mbeonyi nariichi.,Ndege wote wa mwituni nawajua.
Sikukemiagha sena.,Sitakulilia kamwe.
Ngera nedezughwa.,Kama ningeona njaa.
Sine haja na njau.,Sina haja na fahali.
Kwadamdeda mwanyinyu.,Wamsengenya nduguyo.
Naobua nandighi.,Nimeogopa sana.
Kunoneka koko aghadi.,Uharibifu umeenea.
Nidambishe pinana.,Nisafirishe salama.
Ni oho mngara wapo.,Ni wewe mwenzangu.
W'ajinona ilaghano.,Amevunja mapatano.
Nighilipa maghema ghapo.,Nazitekeleza ahadi zangu.
Matuku ghose.,Kila Siku.
Bea ekaia andwamweri.,Hamu ya kuwa pamoja.
Mkonu ghwako ghonimazira.,Mkono wako wanitegemeza.
Ndoe yafunya mavalo ghake.,Nchi imetoa mazao yake.
Mbeo yabia linu.,Baridi imezidi leo.
Ibonyeka karakara na mipango.,Itafanyika kama ilivyopangwa.
Bonya ilombi jekulindia na iriso.,Omba dua dhidi ya kijicho.
W'ulalo w'ininekie.,Fursa waliyonipa.
W'andu w'eka na w'uya mzima mzima.,Watu hawafanani kimaarifa.
W'adia kilambo kizima.,Shikilia kitu kingine.
Motoka kufuma naighu.,Poromoka toka juu.
W'aw'ekimbiria mbaghonyi.,Wanakimbilia porini.
Chungua kwa kuzighana.,Chunguza kwa kuangalia.
Bahari ndeiruwukwaa kwa kuvululia machi.,Bahari haivukwi kwa kuogelea.
Ngelo yake ndeibusire.,Wakati wake haujawadia.
Momu ghoandikwa chuonyi.,Ujumbe uliandikwa kwenye daftari.
Inja machu ghako.,Toa hasira zako.
Kilole cha mtorori.,Kioo cha gari.
Matiriro gha ngolonyi.,Mateso ya moyoni.
Shekeria.,Sababisha jambo.
Midi riseko hata kiju ndechikaa.,Bila miti hakuna kivuli.
Aghia irughudia.,Pangusa jasho.
Ow'ilegha w'aghenyi w'aw'ongeri.,Aliwaepuka marafiki walevi.
Chia iw'i ralemie mbisi.,Njia mbili zilimshinda fisi.
Niamba nimilo ni machi.,Maji yamenifika shingo.
Narumaghia masholio kwa w'undu ghwako.,Nimefedheheshwa kwa ajili yako.
Aw'o w'edenimenya.,Wao walinidharau.
Nasirilwa ni isuw'irio.,Nimekata tamaa.
W'aw'ongeri w'aw'enibora.,Walevi wanatunga nyimbo juu yangu.
Kunitumbulie shwaa.,Unijibu upesi.
Soghoda kavui na ini,Kuja karibu na mimi.
Kusughuse mighongo yaw'o.,Tetemesha migongo yao.
Kukulindie na kaung'a.,Jilinde usitende dhambi.
Kufuchua hekalu.,Kubomoa hekalu.
Nakundaa wuki.,Napenda asali.
Choo nikuneke vindo.,Njoo nikupe chakula.
Ukaleka kudikunda.,Kaacha kutupenda.
Kikulughulu chawecha.,Kimbunga kinakuja.
W'eremtimieghe kidali.,Walimjaribu kwa makusudi.
Chaw'ucha kwa w'undu ghwako ghwa w'ughoma.,Shukurani kwa ajili ya huruma.
Maw'onyero aighu ya tee.,Maonyo kuhusu uongo.
W'atesia w'a ikanisenyi.,Wasaidizi katika kanisa.
Ngasu mbaa.,Siri kubwa.
Malagho ghekumba ngolo,Maneno ya kutia moyo.
Matuku gha kutua.,Siku za mwisho.
Mafundisho gha kutua.,Maagizo ya mwisho.
Voro ra kutua.,Salamu za mwisho.
Mzenyu ndeiw'enya.,Kwenu hakunyeshi.
Da dibonyaa wada.,Sasa tutafanyaje.
Msinde mana.,Mshinde poa.
Naw'eenda cha shighadi kulola chaghu.,Naenda ng'ambo kusaka kazi.
Njumwa iw'i richaa.,Wiki mbili zijazo.
Ni loli.,Ni kweli.
Kusekambo ni chongo.,Usiwe wasiwasi.
Mwatulituli warima.,Simu imezima.
Dende mbuw'enyi.,Twende shambani.
Ntimaa seji nidimaa.,Najaribu niwezavyo.
Mbari zima.,Mataifa mengine.
Neremkemieghe worinyi.,Nilimpinga waziwazi.
Wodeka na makosa.,Alikuwa amekosa.
W'ikadilomba ilagho jimweri.,Wakatuomba kitu kimoja.
Isi si w'andu w'a kaung'a.,Sisi si watu wa dhambi
Hata idana nko moyo ela sio ini.,Na sasa naishi ila sio mimi.
Seji niko mkosi.,Jinsi nilivyo mhalifu.
Shashira mwanedu.,Harakisha ndugu yangu.
Irumirio na sharia.,Imani na sheria.
W'eni mwana mkelie inyo.,Enyi akina fulani wapumbavu.
Sharia na ilaghiro.,Sheria na ahadi.
Shekeria ya sharia.,Madhumuni ya sheria.
Sharia ndeikusaghikagha na irumirio.,Sheria haitegemei imani.
Ndew'ado ni njowe.,Yeyote amelaaniwa.
Kula mundu unyonyorelo mudinyi.,Aliyetundikwa msalabani.
Imbiri irumirio jisechee.,Kabla ya kujaliwa imani.
Derekoghe dafungwa aisi ya sharia.,Sheria ilitufanya watumwa.
Dikiw'eseria ngelo ya kufunukulwa kwa irumirio.,Tukingoja imani hiyo ifunuliwe.
Kukakaia mwana wa Abrahamu.,Mkiwa wazawa wa abrahamu.
Kuchapata ifwa karakara na ilaghiro.,Utapokea aliyoyaahidi.
W'alindiri na w'azighani.,Walezi na wadhamini.
Ghuw'ikilo ni ndee.,Uliowekwa na babake.
Agha malagho nimuandikiagha.,Haya ninawaandikieni.
Siw'eghora tee anduangi.,Sisemi uongo hapa.
Konyuma nereghendieghe.,Baadaye nilikwenda.
W'andu w'a makanisa gha Kristo ndew'erekoghe w'aniw'ona.,Sikujulikana kwa jumuiya.
W'ichamanya ichi w'ichisikiragha chieka.,Walichojua ni kile walichosikia tu.
Orenisaghueghe imbiri nisevalo.,Alikuwa ameniteua hata kabla hajazaliwa.
Ukaniw'anga kwa mvono ghwake.,Akaniita nimtumikie.
Hata niseendajoka Dawida huw'u.,Kabla sijapanda taita.
Niko nyuma ya miaka midadu ngajoka.,Nikajapanda huko miaka mitatu baadaye.
Seremmbonieghe mdumi ungi mzima.,Sikuwaona mitume wengine wowote.
Paulo na w'aja w'adumi w'azima.,Paulo na mitume wengine.
Nyuma ya miaka inya.,Baada ya miaka minne.
Samweli ukamkemia Maria.,Samweli akamlilia Maria.
Odeka na w'aruna w'a tee.,Alikuwa na ndugu wa uongo.
W'ulalo ghwaro.,Badala yake.
W'erewonieghe nedumwa.,Walitambua nimetumwa.
Disew'iliw'e w'akiw'a.,Tuwakumbuke masikini.
Igho ja mbembenyi,Jiwe la pembeni.
Inyo mwaw'eghora wada?,Nyinyi mnasemaje?
Ola sikirenyi.,Basi sikilizeni.
Isuw'irio jichagha.,Tumaini siku za usoni.
Aw'o w'ikosagha w'ichapata kumanya.,Waliopotoka watapata maarifa.
Maghaluso mabaa.,Marekebisho makubwa.
Siichi kushoma.,Sijui kusoma.
W'ana kudinekie.,Watoto uliotujalia.
Aw'a w'ikuserie w'ichapata maboilo.,Wanyofu watapata furaha.
Yasighwa ngelo vui.,Bado kidogo tu.
W'andu w'isesikiragha.,Watu wasiotii.
Kwamenya malagho ghapo.,Umepuuza mambo yangu.
Maw'iw'i agho.,Maovu yao.
Mchakuw'ida viro.,Mtavuna chakula.
Mmburienyi Mlungu.,Mrudieni Mungu.
Mzuri hachi.,Mfalme wa haki.
Waka wawo.,Wake wao.
Nyumba ya magho.,Nyumba ya mawe.
Ngelo ndicha ichaagha.,Wakati mzuri ujao.
Ndomuw'iwo'nagha sena.,Hutawaona tena.
Mbaa sena shapa.,Kubwa tena pana.
W'idedagha kiteto chisetambukagha.,Wanaoongea lugha iyotambulika.
W'uw'iw'i ghwaw'o ghose.,Maovu yao yote.
Obonya mwano.,Alifanya mpaka.
Lolenyi andenyi.,Tafuteni ndani.
Chia ielie.,Njia safi.
Isanga jiomie.,Nchi kavu.
"Kiture, vina na midegho.","Woga, mashimo na mitegi."
Neko na mghenyi.,Niko na rafiki.
Ituku ijo.,Siku hiyo.
W'wada kinubi chako.,Twaa kinubi chako.
Mlungu uchakaba ndoenyi.,Mungu kupiga dunia.
Ndoenyi yachikanywachikanywa.,Ulimwengu umevunjwavunjwa.
Yaw'uya sughuswa nandighi.,Dunia inatikiswatikiswa.
Muzi ghononwa.,Mji ni magofu.
Mbenge rake rachikanya.,Milango yake imevunjika.
W'urumwengu ghwaw'emichwamichwa.,Dunia inayumbayumba.
Sa mw'ongeri.,Kama mlevi.
Saa muka uko na kifu.,Kama mama moja mzito.
Midi yaro ikaoma.,Miti yenyewe ilikauka.
Ngelo iyo.,Wakati huo.
Ijo ituku.,Siku hiyo.
Ukafufunuka ndokumwadaa.,Akiponyoka humshiki.
Magome ghiao.,Pesa ziko wapi.
Naw'eoghosha vilambo.,Naosha vyombo.
Nakunde nikulow'uo.,Natamani nikuoe.
Odaika chofi yose.,Alitapika pombe yote.
Udapoilwa ni kumbaku.,Anapenda tumbaku.
W'esigha kazi yeshona.,Waliacha kazi ya kushona.
W'ana wilow'uo.,Watoto waoe.
Ni bugha.,Ole wao.
Aw'o w'iko na w'wana ghonywa chofi.,Mabingwa wa kunywa divei.
Ndew'isilwagha hata ndew'ikuw'agha.,Hawachoki wala hawajikwai.
Ndew'idungumiagha hata ndew'ilalagha.,Hawasinzii wala hawalali.
Maw'anu ghaw'o ghikalie.,Mishale yao mikali.
Ndana raw'o rafungilo.,Pinde zao zimevutwa tayari.
Kochokocho ra mburi.,Kwato za mbuzi.
Leka w'iniloghe.,Afadhaliwanirge.
W'akumbwa vighow'a.,Amepigwa pingu.
W'agafilika putu,Amepigwa na butwaa kabisa.
Suti kusime.,Lazima ushinde.
Mashano ni mwisho ghwa mori.,Mshahara ni mwisho wa mwezi.
Dikasoghoda mboaeri.,Tulisonga aste aste.
Ugho ni w'ukelu.,Huo ni ujinga.
Mae ni msaw'i.,Mamake ni mchawi.
Mapemba ghaw'urwa.,Mahindi yameiva.
Mwanwako ndene akili.,Mwanao Hana akili.
Kwaki kuw'uyaa nanyuma.,Mbona warudi nyuma.
Mavuda ndeghipoie.,Mafuta ni mabaya.
Mka oko na kwaw'o.,Mke ana kwao.
Muzi ghughokie.,Mji mzuri.
Huw'u walow'ue?,Hivi wameoa.
Mwana wa ititi.,Mwana wa pekee.
Manga wa kiju.,Mhogo wa kivuli.
Mumi wake ndezereloghe.,Bwanake hakuambia.
Oka na skulu yake.,Ana shule yake.
Kipulupulu cha chokwa.,Mrembo mweupe.
Oremkieghe shuu.,Alikawia sana.
Mnyango ghwachika.,Mlango umevunjika.
Machi ghadika.,Maji yamemwagika.
Msaghu ni mnoni.,Mchwa ni mharibifu.
Nekunda kukia.,Nataka kuokoka.
Chofi ra w'a ghosi.,Pombe ya wazee.
Chuilwa mada.,Temewa mate.
Modo ghwadumbulwa.,Stima imekatwa.
Disecheghisow'a malagho agho.,Tusije tukayakosa mambo hayo.
Dambona Jesu.,Tumemuona yesu.
Gherekoghe gha loli.,Yalikuwa ya kweli.
Sabuni ya mfu yadaelesha.,Sabuni ya unga husafisha.
W'ana w'a ndee umweri.,Watoto wa baba mmoja.
Ufwananisho na w'aruna.,Afananishwe na nduguze.
Kuhora kwa w'ana wa Mlungu.,Pumziko kwa wanaonichukia wa Mungu.
Jesu ni mbaa.,Yesu ni mkuu.
Msakeghada sa w'ana w'a noko.,Msiwe wavivu kama watoto wa huko.
Deko na isuw'irio.,Tunalo tumaini.
Kukorwa ni modo.,Kuchomwa na moto.
Muzi ghuchue kaung'a.,Mji uliojaa dhambi.
Nichaghughorua mkono.,Nitaunyosha mkono.
W'ichaasagha matuku ghawo ghikevika.,Wataangamia siku zao zikifika.
Kumuoghosha sa chuma.,Kumwosha kama chuma.
Sisia ra modo.,Cheche za moto.
Sere yake idadua kwa kala na kala.,Amani yake ni ya kudumu mikele.
Iji w'aw'onyera lubando uchaainjwa.,Iwapo ataonyesha kiburi ataondolewa.
Mbari yaw'o eelegha maghaluso.,Kabila lake lilipinga mabadiliko.
Ilagho ijo jingi ndejichaa.,Jambo hilo hilo halitafaulu.
Lomba na kufunge tumu kuneko alama.,Omba na ufunge utapewa ishara.
W'aka w'eka na ghawo.,Wanawake wako na yao.
Ukajikoja isu jake.,Alichoka na wazimu wake.
Oreniwangieghe eri nimtesie kudeka.,Aliniita ili nikamsaidie kupika.
Kio ichi chose kuendaa hao?,Usiku huu wote waenda hadi wapi?
Ghaghisigha ghose gha kala.,Niliyawacha yote ya nyuma.
Oka na tabia izamie.,Ako na tabia mbaya.
Orekelemieghe uko mkoo.,Alipata ulemavu akiwa mchanga.
W'aghenyi w'ikamredia marumba mecha.,Wageni walimletea manukato mazuri.
Ngalemwa kuw'imanaya aw'a w'andu.,Sikuweza kuwajua watu hawa.
Kesho kupatika saa ilinga.,Kesho utakuwa huru saa ngapi.
Ukakakongoma kumanye waw'uya mkongo.,Ukimuona atetema jua321:A485a ni mgonjwa.
Ndeekoghe chia ingi zima ela kulala isakenyi.,Hakuwa na budi ila kulala porini.
Nee ing'oni ja Jesu.,Mimi ni shujaa wa Yesu.
W'ikazoya kuzoghelwa ni nyamandu ra isakenyi.,Wakaanza kuvamiwa na wanyamapori.
Ghenda kuniloghe sena ela saw'efwa kungi.,Kaniroge tena ila sifi.
Aw'o w'ikunde kukumeria w'ichafushwa w'aya.,Wanaotaka kukumaliza watapata aibu.
Choo dilow'uane dikanye.,Kuja tuoane tuishi wote.
Olumwa kughu ni koshi.,Aling'atwa na mbwa mguuni.
W'omi moko na ndighi.,Waume mko na nguvu.
Huw'u ni loli walow'olo.,Ati ni ukweli kaolewa.
Naw'ekughesha ngelo yose.,Nakuwaza kila saa.
Kwafane kukaie na mtorori.,Unafaa uwe na gari.
Kukakunda w'uloli kotia w'ana,Ukitaka ukweli uliza watoto.
Ola kurighore maza iri.,Basi yaseme mambo haya.
Dakuvoya kuw'ishashire na kuw'ikanie.,Twakuomba uwahimize na kuwaonya.
Mndu ungi uja usekumenye.,Mtu yeyote yule asikudharau.
Agha ni mafundisho gha kutua.,Haya ni mawaidha ya mwisho.
Ukelegha mafundisho nidamw'unja mzaw'o.,Akikataa mafunzo namrudisha nyumbani kwao.
Mkake ni sa ngolo yake cheni.,Mke wake ni kama roho yake mwenyewe.
Iji wakakosera kwa ilagho jingi.,Iwapo amekukosea kwa lolote.
Kukaniw'ona kunilaw'ie sile yako.,Ukiniona nidai deni lako.
W'aw'ibonya malaika w'ake w'iw'uye mbeo.,Amewafanya malaika wake kuwa upepo.
W'aw'ibonya w'adumiki w'ake chumi ra modo.,Amewafanya wahudumu wake kuwa kama ndimi za moto.
Kifumbi chake cha nguma.,Kiti chake cha enzi.
Chidua kala na kala.,Kitadumu milele na milele.
W'ereleloghe ni kungia kwa kusowa irumirio.,Hawakuingia kwa kukosa imani.
Mariw'a ni gha w'abonjo.,Maziwa ni ya watoto wadogo.
Vindo vikurie ni va w'andu w'abaa.,Chakula kigumu ni cha watu wazima.
Ngelo yeghala ni omoni okirieghe.,Wakati tukienda ni yeye alitutangulia.
Ighemi jadameria nganyi rose.,Kiapo husuluhisha ubishi wote.
Okoo muichi kufuma ko imbiri.,Tangu awali amekua mdhamini.
Kimu isi kuditime nesi.,Msimu huu utujaribu na sisi.
Hata kutua kwa matuku ikenda.,Baada ya siku tisa kuisha.
Mlodi m'baa ukasigharika ngomenyi kwa mzuri.,Nabii mkuu akabaki ikulu.
Ndokuchee mndu kungi nyuma yake.,Hakuna aliyekuja baada yake.
Mumi wake omredia zahabu ieleshero.,Mume wake alimletea dhahabu safi.
Mwana uchevalwa woderedelwa zawadi.,Mtoto alipozaliwa aliletewa zawadi.
Dua moyo oho mzuri odu.,Uishi milele ewe mfalme wetu.
Ukakumbwa kwa iw'iw'i ja modo.,Akatiwa kwenye tanuru la moto.
Nyamandu inya mbaa risefwanane.,Wanyama wakubwa wanne tofauti.
Uja mghosi ukakuduka loliloli.,Yule mzee akajikweza sana.
Lwembe lwake lumweri lochika.,Upembe wake mmoja ulivunjika.
Ukacha kavui na andu nerekoghe kimusi.,Kaja karibu nia nilikosimama.
Nichaamumanyisha iro maza.,Nitawafundisheni kuhusu mambo hayo.
Odeghora ni suti ughughushe wurigha.,Alisema lazima atauangusha ukuta.
Mdamu na nyamandu udawuya terinyi ukefwa.,Binadamu na wanyama wote hurudi mavumbini afapo.
Mdawana m'baha ukalila mbori.,Kijana mkubwa akalia machozi.
Ituku ijo jiwuye kira.,Siku hiyo iwe giza.
Ofwa wendavalwa.,Alikufa mara tu alipozaliwa.
Mundu ukundaa kufwa.,Mtu ambaye anatamani kifo.
Ija niyo mali ivisiro.,Ile ndiyo hazina iliyofichika.
Waboilwa shuu kungia kaburinyi.,Atafurahia sana atakapokufa na kuzikwa.
Ikisikirika sa machi ghidikagha.,Inasikika mithili ya maji yatiririkayo.
Ela tanu kwameria kuchelwa ni malagho.,Lakini sasa yamekwisha kukuta.
Ghakupata na oho kukafwa ngolo.,Yamekugusa nawe ukafadhaika moyoni.
"Kusakeobua, wadima kukaia moyo.","Usihofu,inawezekana akawa hai."
Luma lwa nakesho ukawuka na kulomba.,Asubuhi aliamka akasali.
Kipepe chabwaghaa mkelu.,Mahangaiko humuua mtu mpumbavu.
Iriso jabwaghaa mndu mkelu.,Wivu humwangamiza aliye mjinga.
Awa wiwae widima kupata.,Waliolima wana matumaini ya kuvuna.
Deekunda dinyamirishe wuwiwi.,Tunataka kukomesha udhalimu kabisa.
Ukashoghonua ufunga.,Huumiza na pia kuuguza.
Ukakaba waboisa.,Hujeruhi na pia kuponya.
Ngera luwawo lwadapimwa ratilinyi.,Mahangaiko yangepimwa kwa mizani.
Madedo ghapo gha kisha kisha.,Matamshi yangu ya kuropoka.
Nifundenyi na ni nichasikira.,Nawasihi mnifundishe nami ntanyamaza.
Niwonyerenyi andu nikosere.,Nielewesheni ni jinsi gani nilivyokosa.
Mdamu oko na wundu miki ghukurie shuu.,Maisha ya binadamu ya ugumu sana.
Sa mzumba seji ulolagha kiju.,Kama mtumwa atamaniye kivuli.
Nasowie dilo kufuma icho.,Angu juzi sijapata uzingizi.
Mae udawizighana kula na kesho.,Mamake huwachunguza kila asubuhi.
Uo wadawichana na kiremba.,Yeye huwaponda kwa dhoruba.
Hata ngera siwadie ikosa.,Hata ingawaje sina hatia.
Nadima nifungo ni madedo ghapo.,Naweza nikafungwa kwa  maneno yangu yangu.
Ini aha nakoja kukaia moyo.,Mimi hapa nimechoka kuishi.
Oka na maghare ghisene mtalo.,Ana magari yasiyohesabika.
Isanga jawo ni jesirimika.,Nchi yao ni ya huzuni.
Olua fii sa kira.,Ni mweusi kama giza.
Eri nihore kutineri.,Ili nipate faraja kidogo.
Naweja agha nighiwonie.,Ninayoyasema nimeyaona kwa macho.
Mkapo wapo woghenda kwa nde.,Bibi yangu alianda kwa babake.
Wubaa ghwake ghuchamuobosha.,Fahari aliyo nayo itawatisha.
Kwavolwa kusighe kukaba m'mbenyu.,Umeombwa uwache kupiga mwenzako.
Naweja gha loli ghieka.,Ambayo ninayoyasema ni ukweli tu.
Aho niko kuchaadima kutala.,Hapo ndipo utaweza kuhesabu.
Wulalo ghosikira chughano.,Nafasi ya kusikiza hadithi.
Awo wose ni wawiwi.,Hao wote ni watu wabaya.
Suti kunyamira malagho ghawo.,Lazima kukomesha maneno yao.
Agha nigho mafundisho gha loli.,Hayo ndiyo mafundisho ya kweli.
Uo ni uo uchaaghusha wurigha.,Yeye ndiye atakayeuangusha ukuta.
Diwose diwuya andonyi terinyi.,Sote tutarudisha chini mavumbini.
Kwa chia ya kutanya kwako.,Katika njia yako ya maamuzi.
Mwana mtini ukalila mbori.,Mtoto mdogo akalia machozi.
Wendam'mbona mbaha ukawuka kimusi.,Alipomuona mkubwa akasimama wima.
Nawekotia wiao wazuri.,Nauliza wako wapi wafalme.
Oho kwameria kusikia maza ripoie.,Wewe umeshasikia habari njema.
Kwa agho ghose kubonyere.,Kwa yale yote uliyotenda.
Awo wose wiko moyo.,Wale wote walio hai.
Vololo rose richaachurwa.,Kila bonde litasawazishwa.
Dawekulomba kuwihoreshe wandu wako.,Twakuomba uwafariji watu wako.
Mdi ghukademwa malemba ghadaoma.,Mti ukikatwa majani hukauka.
Uo niwo uwiseragha wabaa.,Yeye ndiye huwaporomosha wakuu.
Kukaghiwusira meso ghako naighu.,Ukiyainua macho yako juu.
Nawo wichapata ndighi mbishi.,Nao watapata nguvu mpya.
Wichaburuka ighu sa indu.,Watapanda juu kama tai.
Wichaakimbia nawo ndewichaasilwa.,Nao watakimbia bila kuchoka.
Wichaaghenda  kuseko na kudumbuka.,Pia wataweza kutembea bila kulegea.
Kuwilolagha ela ndokuchaa wiwona.,Utawatafuta ila hawatawaona.
Awo wose wilwagha na oho.,Wale wote wanaopigana nawe.
Wikaka wiseghalukie witotagha.,Kama hawatarekebika watakuwa wameangamia.
Imbiri yake ndomko kilambo chingi.,Mbele yake nyinyi si kitu.
Uja wawemtasa ni mchafu.,Yule wanayemwabudu ni chukizo.
Wele nani orelodieghe maza iro?,Nani ambaye aliyabashiri maneno haya.
Hata ndokuchaasikira lwaka lwake chienyi.,Wala hutasikia jina lake njiani.
Mrangi ghufashikie ndokuchaachikanywa.,Ule mwanzi uliochubuka hautavunjwa.
Uo na wana wake wenona ndoria.,Yeye na wanawe waliharibu chemichemi.
Vua endaenda malemba gheoma.,Mvua ilipokatika nyasi ilikauka.
Madini gha zoghori mbaa.,Madini yenye thamani kubwa.
Kaung'a ya kenya imezidi.,Dhambi ya Kenya imezidi.
"Kwaki mwanedu, kwaweobua?","Mbona ndugu umekubali, waogopa."
Isanga jawo wesaghua kilongozi mng'eti.,Nchi yao walichagua kiongozi katili.
Okunda uredelo maghi gha makalai.,Anataka aletewe mayai ya mende.
Wukelu ghotasa milimu.,Upumbavu wa kuabudu sanamu.
Ndee ni mchani chuma.,Baba yake ni mfua chuma.
Mwana ukakotia wavi wake wamvae waki.,Mtoto aliuliza wazazi wake kwa nini walimzaa.
Awo wepoisa milimu.,Wale wenye kutengeneza sanamu.
Malagho agha sereghighorieghe kivisonyi.,Maneno haya sikuyasema kifichoni.
Wichaasima na kupata wubaa.,Watashinda na kupata utukufu.
Kughwa kwa babuloni.,Kuanguka chini kwa Babiloni.
Kwasirishwa ndighi ni wanjama wako.,Umechoshwa na washauri wako.
Idana soghodenyi sena kaavui.,Sasa songeeni tena karibu.
Ofwa udikire kaung'a redu.,Alikufa kwa sababu ya dhambi zetu.
Cheko kilambo nikuzeragha dikekwana.,Kuna kitu nitakuambia tukikutana.
Neishi ngimanya wai wengi wefumiria kisumu., Nimeishi nikijua wanawake wengi hutokea Kisumu.
Nawelola mtesia wa nyumbenyi.,Natafuta msaidizi wa nyumbani.
Ni nicha mwanikabia niselale.,Afadhali umenipigia kabla nilale.
Okoo mndu was kaavui wa mwanedu.,Alikuwa mtu wa karibu wa ndugu.
Nakuneka wuloli ghose.,Mimi nimekupa ukweli wote.
Wandu weka na kiwiwi na isi.,Watu wana ubaya na mimi.
Ndedidimaa kuchuria useme rule.,Hatuwezi kuongezea kama hajamaliza.
Orenikabieghe icho nakenyi.,Alinipigia simu juzi usiku.
Ngolo ra wadamu rakucha ngonde.,Mioyo ya wanadamu imekunja ngumi.
Vadu vapo vakatambuka.,Viatu zangu zimeanza kufumuka.
Sisikire ela ngasikira nikuzeragha.,Sijasikia ila nikisikia nitakuambia.
Kufuma itanaa niwikaghagha malagho worinyi.,Kuanzia sasa ntakuwa wazi.
Ndokukundikie kuobuo kuko nani.,Hufai kuogopa ukiwa nami.
Ihehe jake jawiimie wazima malazi.,Tamaa yake iliwakosesha wengine mengi.
Tanu niko nakavika kwa mao.,Sai ndio naelekea kufika kwa mama.
Nedelemwa kumtumbulia momu ghwake.,Sikuweza kujibu ujumbe wake.
Mlale mana m'mbose.,Nawatakia nyote usiku mwema.
Wana wiko na njala.,Watoto walio na njaa.
Vua esindanya dii.,Mvua ilinyesha mchana kutwa.
Mseliwe waka wakiwa.,Wamama wajane wanafaa kukumbukwa.
Kumanye nekulisa oho kueka.,Unajua nimekuzoea wewe tu.
Ihi niyo ngelo ipoie kuchumba kwake.,Hu ndio muda mwafaka kwake.
Odefwa ngolo yelowolwa.,Alikata tamaa ya kupata bwana.
Nawekulombia mecha maduu.,Nakutakia kila la kheri.
Neka kula umweri maghana ghake masanu.,Wapee wote mia tano tano.
Nawemghesha angelo's yose.,Saa zote yumo akilini.
Nikaka nisewewoneka manyenyi naviswa.,Mkiona sionekani jueni nimefichwa.
Kukaia na oho ni kuboilwa kueka.,Maisha na wewe ni furaha tele.
